year,sex,rounding,cnt,sim_lab
2010,female,n_rr3_1,14241,rounded
2010,female,n_rr3_10,14196,rounded
2010,female,n_rr3_100,14304,rounded
2010,female,n_rr3_11,14220,rounded
2010,female,n_rr3_12,14259,rounded
2010,female,n_rr3_13,14145,rounded
2010,female,n_rr3_14,14220,rounded
2010,female,n_rr3_15,14232,rounded
2010,female,n_rr3_16,14280,rounded
2010,female,n_rr3_17,14253,rounded
2010,female,n_rr3_18,14331,rounded
2010,female,n_rr3_19,14310,rounded
2010,female,n_rr3_2,14265,rounded
2010,female,n_rr3_20,14241,rounded
2010,female,n_rr3_21,14280,rounded
2010,female,n_rr3_22,14259,rounded
2010,female,n_rr3_23,14322,rounded
2010,female,n_rr3_24,14235,rounded
2010,female,n_rr3_25,14355,rounded
2010,female,n_rr3_26,14346,rounded
2010,female,n_rr3_27,14199,rounded
2010,female,n_rr3_28,14241,rounded
2010,female,n_rr3_29,14307,rounded
2010,female,n_rr3_3,14322,rounded
2010,female,n_rr3_30,14250,rounded
2010,female,n_rr3_31,14169,rounded
2010,female,n_rr3_32,14340,rounded
2010,female,n_rr3_33,14295,rounded
2010,female,n_rr3_34,14277,rounded
2010,female,n_rr3_35,14208,rounded
2010,female,n_rr3_36,14235,rounded
2010,female,n_rr3_37,14292,rounded
2010,female,n_rr3_38,14274,rounded
2010,female,n_rr3_39,14268,rounded
2010,female,n_rr3_4,14253,rounded
2010,female,n_rr3_40,14352,rounded
2010,female,n_rr3_41,14283,rounded
2010,female,n_rr3_42,14301,rounded
2010,female,n_rr3_43,14208,rounded
2010,female,n_rr3_44,14196,rounded
2010,female,n_rr3_45,14190,rounded
2010,female,n_rr3_46,14151,rounded
2010,female,n_rr3_47,14190,rounded
2010,female,n_rr3_48,14142,rounded
2010,female,n_rr3_49,14403,rounded
2010,female,n_rr3_5,14283,rounded
2010,female,n_rr3_50,14250,rounded
2010,female,n_rr3_51,14232,rounded
2010,female,n_rr3_52,14235,rounded
2010,female,n_rr3_53,14274,rounded
2010,female,n_rr3_54,14223,rounded
2010,female,n_rr3_55,14211,rounded
2010,female,n_rr3_56,14172,rounded
2010,female,n_rr3_57,14256,rounded
2010,female,n_rr3_58,14271,rounded
2010,female,n_rr3_59,14316,rounded
2010,female,n_rr3_6,14286,rounded
2010,female,n_rr3_60,14340,rounded
2010,female,n_rr3_61,14415,rounded
2010,female,n_rr3_62,14220,rounded
2010,female,n_rr3_63,14244,rounded
2010,female,n_rr3_64,14220,rounded
2010,female,n_rr3_65,14310,rounded
2010,female,n_rr3_66,14175,rounded
2010,female,n_rr3_67,14253,rounded
2010,female,n_rr3_68,14127,rounded
2010,female,n_rr3_69,14292,rounded
2010,female,n_rr3_7,14316,rounded
2010,female,n_rr3_70,14184,rounded
2010,female,n_rr3_71,14301,rounded
2010,female,n_rr3_72,14217,rounded
2010,female,n_rr3_73,14190,rounded
2010,female,n_rr3_74,14247,rounded
2010,female,n_rr3_75,14403,rounded
2010,female,n_rr3_76,14148,rounded
2010,female,n_rr3_77,14325,rounded
2010,female,n_rr3_78,14271,rounded
2010,female,n_rr3_79,14265,rounded
2010,female,n_rr3_8,14172,rounded
2010,female,n_rr3_80,14310,rounded
2010,female,n_rr3_81,14274,rounded
2010,female,n_rr3_82,14277,rounded
2010,female,n_rr3_83,14286,rounded
2010,female,n_rr3_84,14202,rounded
2010,female,n_rr3_85,14256,rounded
2010,female,n_rr3_86,14232,rounded
2010,female,n_rr3_87,14286,rounded
2010,female,n_rr3_88,14250,rounded
2010,female,n_rr3_89,14292,rounded
2010,female,n_rr3_9,14232,rounded
2010,female,n_rr3_90,14190,rounded
2010,female,n_rr3_91,14307,rounded
2010,female,n_rr3_92,14226,rounded
2010,female,n_rr3_93,14247,rounded
2010,female,n_rr3_94,14154,rounded
2010,female,n_rr3_95,14199,rounded
2010,female,n_rr3_96,14247,rounded
2010,female,n_rr3_97,14244,rounded
2010,female,n_rr3_98,14256,rounded
2010,female,n_rr3_99,14295,rounded
2010,female,raw_cnt,14249,unrounded
2010,male,n_rr3_1,14394,rounded
2010,male,n_rr3_10,14277,rounded
2010,male,n_rr3_100,14262,rounded
2010,male,n_rr3_11,14301,rounded
2010,male,n_rr3_12,14346,rounded
2010,male,n_rr3_13,14259,rounded
2010,male,n_rr3_14,14184,rounded
2010,male,n_rr3_15,14286,rounded
2010,male,n_rr3_16,14283,rounded
2010,male,n_rr3_17,14238,rounded
2010,male,n_rr3_18,14211,rounded
2010,male,n_rr3_19,14274,rounded
2010,male,n_rr3_2,14430,rounded
2010,male,n_rr3_20,14262,rounded
2010,male,n_rr3_21,14250,rounded
2010,male,n_rr3_22,14286,rounded
2010,male,n_rr3_23,14274,rounded
2010,male,n_rr3_24,14289,rounded
2010,male,n_rr3_25,14322,rounded
2010,male,n_rr3_26,14136,rounded
2010,male,n_rr3_27,14298,rounded
2010,male,n_rr3_28,14289,rounded
2010,male,n_rr3_29,14265,rounded
2010,male,n_rr3_3,14208,rounded
2010,male,n_rr3_30,14322,rounded
2010,male,n_rr3_31,14226,rounded
2010,male,n_rr3_32,14271,rounded
2010,male,n_rr3_33,14244,rounded
2010,male,n_rr3_34,14358,rounded
2010,male,n_rr3_35,14160,rounded
2010,male,n_rr3_36,14211,rounded
2010,male,n_rr3_37,14190,rounded
2010,male,n_rr3_38,14253,rounded
2010,male,n_rr3_39,14259,rounded
2010,male,n_rr3_4,14166,rounded
2010,male,n_rr3_40,14337,rounded
2010,male,n_rr3_41,14250,rounded
2010,male,n_rr3_42,14262,rounded
2010,male,n_rr3_43,14445,rounded
2010,male,n_rr3_44,14301,rounded
2010,male,n_rr3_45,14190,rounded
2010,male,n_rr3_46,14223,rounded
2010,male,n_rr3_47,14325,rounded
2010,male,n_rr3_48,14310,rounded
2010,male,n_rr3_49,14193,rounded
2010,male,n_rr3_5,14322,rounded
2010,male,n_rr3_50,14328,rounded
2010,male,n_rr3_51,14268,rounded
2010,male,n_rr3_52,14286,rounded
2010,male,n_rr3_53,14316,rounded
2010,male,n_rr3_54,14211,rounded
2010,male,n_rr3_55,14205,rounded
2010,male,n_rr3_56,14259,rounded
2010,male,n_rr3_57,14217,rounded
2010,male,n_rr3_58,14322,rounded
2010,male,n_rr3_59,14280,rounded
2010,male,n_rr3_6,14283,rounded
2010,male,n_rr3_60,14181,rounded
2010,male,n_rr3_61,14226,rounded
2010,male,n_rr3_62,14232,rounded
2010,male,n_rr3_63,14289,rounded
2010,male,n_rr3_64,14322,rounded
2010,male,n_rr3_65,14286,rounded
2010,male,n_rr3_66,14139,rounded
2010,male,n_rr3_67,14292,rounded
2010,male,n_rr3_68,14325,rounded
2010,male,n_rr3_69,14226,rounded
2010,male,n_rr3_7,14238,rounded
2010,male,n_rr3_70,14355,rounded
2010,male,n_rr3_71,14262,rounded
2010,male,n_rr3_72,14256,rounded
2010,male,n_rr3_73,14187,rounded
2010,male,n_rr3_74,14322,rounded
2010,male,n_rr3_75,14196,rounded
2010,male,n_rr3_76,14274,rounded
2010,male,n_rr3_77,14289,rounded
2010,male,n_rr3_78,14202,rounded
