year,sex,rounding,cnt,sim_lab
2010,female,n_rr3_1,14235,rounded
2010,female,n_rr3_10,14256,rounded
2010,female,n_rr3_100,14202,rounded
2010,female,n_rr3_11,14238,rounded
2010,female,n_rr3_12,14253,rounded
2010,female,n_rr3_13,14232,rounded
2010,female,n_rr3_14,14241,rounded
2010,female,n_rr3_15,14277,rounded
2010,female,n_rr3_16,14220,rounded
2010,female,n_rr3_17,14304,rounded
2010,female,n_rr3_18,14298,rounded
2010,female,n_rr3_19,14196,rounded
2010,female,n_rr3_2,14223,rounded
2010,female,n_rr3_20,14256,rounded
2010,female,n_rr3_21,14229,rounded
2010,female,n_rr3_22,14232,rounded
2010,female,n_rr3_23,14298,rounded
2010,female,n_rr3_24,14160,rounded
2010,female,n_rr3_25,14223,rounded
2010,female,n_rr3_26,14244,rounded
2010,female,n_rr3_27,14253,rounded
2010,female,n_rr3_28,14304,rounded
2010,female,n_rr3_29,14190,rounded
2010,female,n_rr3_3,14292,rounded
2010,female,n_rr3_30,14205,rounded
2010,female,n_rr3_31,14262,rounded
2010,female,n_rr3_32,14166,rounded
2010,female,n_rr3_33,14268,rounded
2010,female,n_rr3_34,14226,rounded
2010,female,n_rr3_35,14271,rounded
2010,female,n_rr3_36,14283,rounded
2010,female,n_rr3_37,14217,rounded
2010,female,n_rr3_38,14277,rounded
2010,female,n_rr3_39,14202,rounded
2010,female,n_rr3_4,14253,rounded
2010,female,n_rr3_40,14217,rounded
2010,female,n_rr3_41,14247,rounded
2010,female,n_rr3_42,14217,rounded
2010,female,n_rr3_43,14223,rounded
2010,female,n_rr3_44,14268,rounded
2010,female,n_rr3_45,14199,rounded
2010,female,n_rr3_46,14229,rounded
2010,female,n_rr3_47,14268,rounded
2010,female,n_rr3_48,14238,rounded
2010,female,n_rr3_49,14226,rounded
2010,female,n_rr3_5,14295,rounded
2010,female,n_rr3_50,14229,rounded
2010,female,n_rr3_51,14289,rounded
2010,female,n_rr3_52,14268,rounded
2010,female,n_rr3_53,14307,rounded
2010,female,n_rr3_54,14250,rounded
2010,female,n_rr3_55,14250,rounded
2010,female,n_rr3_56,14214,rounded
2010,female,n_rr3_57,14199,rounded
2010,female,n_rr3_58,14214,rounded
2010,female,n_rr3_59,14289,rounded
2010,female,n_rr3_6,14238,rounded
2010,female,n_rr3_60,14268,rounded
2010,female,n_rr3_61,14277,rounded
2010,female,n_rr3_62,14247,rounded
2010,female,n_rr3_63,14220,rounded
2010,female,n_rr3_64,14205,rounded
2010,female,n_rr3_65,14286,rounded
2010,female,n_rr3_66,14247,rounded
2010,female,n_rr3_67,14259,rounded
2010,female,n_rr3_68,14199,rounded
2010,female,n_rr3_69,14226,rounded
2010,female,n_rr3_7,14229,rounded
2010,female,n_rr3_70,14265,rounded
2010,female,n_rr3_71,14280,rounded
2010,female,n_rr3_72,14265,rounded
2010,female,n_rr3_73,14280,rounded
2010,female,n_rr3_74,14226,rounded
2010,female,n_rr3_75,14241,rounded
2010,female,n_rr3_76,14271,rounded
2010,female,n_rr3_77,14244,rounded
2010,female,n_rr3_78,14238,rounded
2010,female,n_rr3_79,14325,rounded
2010,female,n_rr3_8,14253,rounded
2010,female,n_rr3_80,14220,rounded
2010,female,n_rr3_81,14280,rounded
2010,female,n_rr3_82,14277,rounded
2010,female,n_rr3_83,14193,rounded
2010,female,n_rr3_84,14340,rounded
2010,female,n_rr3_85,14259,rounded
2010,female,n_rr3_86,14235,rounded
2010,female,n_rr3_87,14253,rounded
2010,female,n_rr3_88,14232,rounded
2010,female,n_rr3_89,14268,rounded
2010,female,n_rr3_9,14253,rounded
2010,female,n_rr3_90,14250,rounded
2010,female,n_rr3_91,14265,rounded
2010,female,n_rr3_92,14253,rounded
2010,female,n_rr3_93,14259,rounded
