death_date,death_weekday,death_week_ending,age_elderly,deaths,deaths_per_100k,deaths_mean7,deaths_per_100k_mean7
2024-11-10,Sunday,2024-11-10,<60,0,0,0,0
2024-11-10,Sunday,2024-11-10,60-69,0,0,0,0
2024-11-10,Sunday,2024-11-10,70-79,0,0,0.1429,0.038
2024-11-10,Sunday,2024-11-10,80+,0,0,0,0
2024-11-09,Saturday,2024-11-10,<60,0,0,0,0
2024-11-09,Saturday,2024-11-10,60-69,0,0,0,0
2024-11-09,Saturday,2024-11-10,70-79,1,0.2659,0.1429,0.038
2024-11-09,Saturday,2024-11-10,80+,0,0,0.1429,0.0727
2024-11-08,Friday,2024-11-10,<60,0,0,0,0
2024-11-08,Friday,2024-11-10,60-69,0,0,0,0
2024-11-08,Friday,2024-11-10,70-79,0,0,0,0
2024-11-08,Friday,2024-11-10,80+,0,0,0.2857,0.1454
2024-11-07,Thursday,2024-11-10,<60,0,0,0,0
2024-11-07,Thursday,2024-11-10,60-69,0,0,0.2857,0.0509
2024-11-07,Thursday,2024-11-10,70-79,0,0,0,0
2024-11-07,Thursday,2024-11-10,80+,0,0,0.2857,0.1454
2024-11-06,Wednesday,2024-11-10,<60,0,0,0,0
2024-11-06,Wednesday,2024-11-10,60-69,0,0,0.2857,0.0509
2024-11-06,Wednesday,2024-11-10,70-79,0,0,0.2857,0.076
2024-11-06,Wednesday,2024-11-10,80+,0,0,0.4286,0.2181
2024-11-05,Tuesday,2024-11-10,<60,0,0,0,0
2024-11-05,Tuesday,2024-11-10,60-69,0,0,0.2857,0.0509
2024-11-05,Tuesday,2024-11-10,70-79,0,0,0.2857,0.076
2024-11-05,Tuesday,2024-11-10,80+,0,0,0.4286,0.2181
2024-11-04,Monday,2024-11-10,<60,0,0,0,0
2024-11-04,Monday,2024-11-10,60-69,0,0,0.2857,0.0509
2024-11-04,Monday,2024-11-10,70-79,0,0,0.4286,0.1139
2024-11-04,Monday,2024-11-10,80+,0,0,0.4286,0.2181
2024-11-03,Sunday,2024-11-03,<60,0,0,0,0
2024-11-03,Sunday,2024-11-03,60-69,0,0,0.2857,0.0509
2024-11-03,Sunday,2024-11-03,70-79,0,0,0.4286,0.1139
2024-11-03,Sunday,2024-11-03,80+,1,0.5088,0.4286,0.2181
2024-11-02,Saturday,2024-11-03,<60,0,0,0,0
2024-11-02,Saturday,2024-11-03,60-69,0,0,0.2857,0.0509
2024-11-02,Saturday,2024-11-03,70-79,0,0,0.4286,0.1139
