death_date,death_weekday,death_week_ending,sex,deaths,deaths_per_100k,deaths_mean7,deaths_per_100k_mean7
2024-11-18,Monday,2024-11-24,Female,0,0,0.2857,0.0124
2024-11-18,Monday,2024-11-24,Male,0,0,0.1429,0.0059
2024-11-17,Sunday,2024-11-17,Female,0,0,0.4286,0.0185
2024-11-17,Sunday,2024-11-17,Male,0,0,0.2857,0.0117
2024-11-16,Saturday,2024-11-17,Female,0,0,0.4286,0.0185
2024-11-16,Saturday,2024-11-17,Male,1,0.0411,0.2857,0.0117
2024-11-15,Friday,2024-11-17,Female,0,0,0.4286,0.0185
2024-11-15,Friday,2024-11-17,Male,0,0,0.2857,0.0117
2024-11-14,Thursday,2024-11-17,Female,1,0.0432,0.4286,0.0185
2024-11-14,Thursday,2024-11-17,Male,0,0,0.2857,0.0117
2024-11-13,Wednesday,2024-11-17,Female,1,0.0432,0.2857,0.0124
2024-11-13,Wednesday,2024-11-17,Male,0,0,0.2857,0.0117
2024-11-12,Tuesday,2024-11-17,Female,0,0,0.1429,0.0062
2024-11-12,Tuesday,2024-11-17,Male,0,0,0.2857,0.0117
2024-11-11,Monday,2024-11-17,Female,1,0.0432,0.1429,0.0062
2024-11-11,Monday,2024-11-17,Male,1,0.0411,0.2857,0.0117
2024-11-10,Sunday,2024-11-10,Female,0,0,0,0
2024-11-10,Sunday,2024-11-10,Male,0,0,0.1429,0.0059
2024-11-09,Saturday,2024-11-10,Female,0,0,0.1429,0.0062
2024-11-09,Saturday,2024-11-10,Male,1,0.0411,0.1429,0.0059
2024-11-08,Friday,2024-11-10,Female,0,0,0.1429,0.0062
2024-11-08,Friday,2024-11-10,Male,0,0,0.1429,0.0059
2024-11-07,Thursday,2024-11-10,Female,0,0,0.1429,0.0062
2024-11-07,Thursday,2024-11-10,Male,0,0,0.4286,0.0176
2024-11-06,Wednesday,2024-11-10,Female,0,0,0.2857,0.0124
2024-11-06,Wednesday,2024-11-10,Male,0,0,0.7143,0.0293
2024-11-05,Tuesday,2024-11-10,Female,0,0,0.2857,0.0124
2024-11-05,Tuesday,2024-11-10,Male,0,0,0.7143,0.0293
2024-11-04,Monday,2024-11-10,Female,0,0,0.2857,0.0124
2024-11-04,Monday,2024-11-10,Male,0,0,0.8571,0.0352
2024-11-03,Sunday,2024-11-03,Female,1,0.0432,0.2857,0.0124
2024-11-03,Sunday,2024-11-03,Male,0,0,0.8571,0.0352
2024-11-02,Saturday,2024-11-03,Female,0,0,0.1429,0.0062
2024-11-02,Saturday,2024-11-03,Male,1,0.0411,1,0.0411
2024-11-01,Friday,2024-11-03,Female,0,0,0.1429,0.0062
2024-11-01,Friday,2024-11-03,Male,2,0.0821,0.8571,0.0352
2024-10-31,Thursday,2024-11-03,Female,1,0.0432,0.1429,0.0062
2024-10-31,Thursday,2024-11-03,Male,2,0.0821,0.5714,0.0235
2024-10-30,Wednesday,2024-11-03,Female,0,0,0,0
2024-10-30,Wednesday,2024-11-03,Male,0,0,0.2857,0.0117
2024-10-29,Tuesday,2024-11-03,Female,0,0,0.1429,0.0062
2024-10-29,Tuesday,2024-11-03,Male,1,0.0411,0.2857,0.0117
2024-10-28,Monday,2024-11-03,Female,0,0,0.2857,0.0124
2024-10-28,Monday,2024-11-03,Male,0,0,0.1429,0.0059
2024-10-27,Sunday,2024-10-27,Female,0,0,0.2857,0.0124
2024-10-27,Sunday,2024-10-27,Male,1,0.0411,0.1429,0.0059
2024-10-26,Saturday,2024-10-27,Female,0,0,0.4286,0.0185
2024-10-26,Saturday,2024-10-27,Male,0,0,0.1429,0.0059
2024-10-25,Friday,2024-10-27,Female,0,0,0.5714,0.0247
2024-10-25,Friday,2024-10-27,Male,0,0,0.1429,0.0059
2024-10-24,Thursday,2024-10-27,Female,0,0,0.5714,0.0247
2024-10-24,Thursday,2024-10-27,Male,0,0,0.2857,0.0117
2024-10-23,Wednesday,2024-10-27,Female,1,0.0432,0.7143,0.0309
2024-10-23,Wednesday,2024-10-27,Male,0,0,0.2857,0.0117
2024-10-22,Tuesday,2024-10-27,Female,1,0.0432,0.5714,0.0247
2024-10-22,Tuesday,2024-10-27,Male,0,0,0.2857,0.0117
2024-10-21,Monday,2024-10-27,Female,0,0,0.4286,0.0185
2024-10-21,Monday,2024-10-27,Male,0,0,0.2857,0.0117
2024-10-20,Sunday,2024-10-20,Female,1,0.0432,0.4286,0.0185
2024-10-20,Sunday,2024-10-20,Male,1,0.0411,0.2857,0.0117
2024-10-19,Saturday,2024-10-20,Female,1,0.0432,0.2857,0.0124
2024-10-19,Saturday,2024-10-20,Male,0,0,0.1429,0.0059
2024-10-18,Friday,2024-10-20,Female,0,0,0.1429,0.0062
2024-10-18,Friday,2024-10-20,Male,1,0.0411,0.1429,0.0059
2024-10-17,Thursday,2024-10-20,Female,1,0.0432,0.1429,0.0062
2024-10-17,Thursday,2024-10-20,Male,0,0,0,0
2024-10-16,Wednesday,2024-10-20,Female,0,0,0,0
2024-10-16,Wednesday,2024-10-20,Male,0,0,0,0
2024-10-15,Tuesday,2024-10-20,Female,0,0,0,0
2024-10-15,Tuesday,2024-10-20,Male,0,0,0.1429,0.0059
2024-10-14,Monday,2024-10-20,Female,0,0,0,0
2024-10-14,Monday,2024-10-20,Male,0,0,0.1429,0.0059
2024-10-13,Sunday,2024-10-13,Female,0,0,0,0
2024-10-13,Sunday,2024-10-13,Male,0,0,0.1429,0.0059
2024-10-12,Saturday,2024-10-13,Female,0,0,0.2857,0.0124
2024-10-12,Saturday,2024-10-13,Male,0,0,0.1429,0.0059
2024-10-11,Friday,2024-10-13,Female,0,0,0.4286,0.0185
2024-10-11,Friday,2024-10-13,Male,0,0,0.1429,0.0059
2024-10-10,Thursday,2024-10-13,Female,0,0,0.4286,0.0185
2024-10-10,Thursday,2024-10-13,Male,0,0,0.1429,0.0059
2024-10-09,Wednesday,2024-10-13,Female,0,0,0.5714,0.0247
2024-10-09,Wednesday,2024-10-13,Male,1,0.0411,0.1429,0.0059
2024-10-08,Tuesday,2024-10-13,Female,0,0,0.5714,0.0247
2024-10-08,Tuesday,2024-10-13,Male,0,0,0,0
2024-10-07,Monday,2024-10-13,Female,0,0,0.7143,0.0309
2024-10-07,Monday,2024-10-13,Male,0,0,0,0
2024-10-06,Sunday,2024-10-06,Female,2,0.0865,0.7143,0.0309
2024-10-06,Sunday,2024-10-06,Male,0,0,0,0
2024-10-05,Saturday,2024-10-06,Female,1,0.0432,0.4286,0.0185
2024-10-05,Saturday,2024-10-06,Male,0,0,0,0
2024-10-04,Friday,2024-10-06,Female,0,0,0.4286,0.0185
2024-10-04,Friday,2024-10-06,Male,0,0,0,0
