year,month,year_month,age,age_lab,sex,n_rnd
2010,01,2010-01,0,0,female,12
2010,01,2010-01,0,0,male,15
2010,01,2010-01,1,1,female,0
2010,01,2010-01,1,1,male,0
2010,01,2010-01,2,2,male,0
2010,01,2010-01,5,5,male,0
2010,01,2010-01,9,9,female,6
2010,01,2010-01,11,11,male,0
2010,01,2010-01,12,12,male,0
2010,01,2010-01,14,14,female,0
2010,01,2010-01,14,14,male,0
2010,01,2010-01,15,15,male,0
2010,01,2010-01,16,16,female,0
2010,01,2010-01,16,16,male,0
2010,01,2010-01,17,17,male,6
2010,01,2010-01,18,18,female,6
2010,01,2010-01,18,18,male,6
2010,01,2010-01,19,19,female,6
2010,01,2010-01,19,19,male,0
2010,01,2010-01,20,20,female,0
2010,01,2010-01,20,20,male,0
2010,01,2010-01,21,21,female,0
2010,01,2010-01,21,21,male,0
2010,01,2010-01,22,22,female,0
2010,01,2010-01,22,22,male,6
2010,01,2010-01,23,23,male,6
2010,01,2010-01,25,25,female,0
2010,01,2010-01,26,26,female,6
2010,01,2010-01,26,26,male,0
2010,01,2010-01,27,27,female,0
2010,01,2010-01,28,28,female,0
2010,01,2010-01,28,28,male,0
2010,01,2010-01,29,29,female,0
2010,01,2010-01,29,29,male,0
2010,01,2010-01,30,30,female,6
2010,01,2010-01,30,30,male,0
2010,01,2010-01,31,31,female,0
2010,01,2010-01,32,32,male,0
2010,01,2010-01,33,33,female,6
2010,01,2010-01,33,33,male,6
2010,01,2010-01,34,34,female,0
2010,01,2010-01,34,34,male,0
2010,01,2010-01,35,35,female,0
2010,01,2010-01,35,35,male,6
2010,01,2010-01,36,36,male,0
2010,01,2010-01,37,37,female,6
2010,01,2010-01,37,37,male,6
2010,01,2010-01,38,38,male,0
2010,01,2010-01,39,39,female,6
2010,01,2010-01,39,39,male,0
2010,01,2010-01,40,40,female,0
2010,01,2010-01,40,40,male,6
2010,01,2010-01,41,41,female,0
2010,01,2010-01,41,41,male,6
2010,01,2010-01,42,42,female,6
2010,01,2010-01,42,42,male,6
2010,01,2010-01,43,43,female,0
2010,01,2010-01,43,43,male,6
2010,01,2010-01,44,44,female,6
2010,01,2010-01,44,44,male,6
2010,01,2010-01,45,45,female,6
2010,01,2010-01,45,45,male,6
2010,01,2010-01,46,46,female,6
2010,01,2010-01,46,46,male,6
2010,01,2010-01,47,47,female,6
2010,01,2010-01,47,47,male,0
2010,01,2010-01,48,48,female,9
2010,01,2010-01,48,48,male,6
2010,01,2010-01,49,49,female,6
2010,01,2010-01,49,49,male,6
2010,01,2010-01,50,50,female,6
2010,01,2010-01,50,50,male,0
2010,01,2010-01,51,51,female,6
2010,01,2010-01,51,51,male,9
2010,01,2010-01,52,52,female,6
2010,01,2010-01,52,52,male,9
2010,01,2010-01,53,53,female,6
2010,01,2010-01,53,53,male,6
2010,01,2010-01,54,54,female,6
2010,01,2010-01,54,54,male,9
2010,01,2010-01,55,55,female,0
2010,01,2010-01,55,55,male,12
2010,01,2010-01,56,56,female,9
2010,01,2010-01,56,56,male,12
2010,01,2010-01,57,57,female,6
2010,01,2010-01,57,57,male,12
2010,01,2010-01,58,58,female,0
2010,01,2010-01,58,58,male,12
2010,01,2010-01,59,59,female,6
2010,01,2010-01,59,59,male,15
2010,01,2010-01,60,60,female,12
2010,01,2010-01,60,60,male,15
2010,01,2010-01,61,61,female,12
2010,01,2010-01,61,61,male,21
